task_idx,scenario,backend,backend_kind,model,model_kind,params_millions,params_millions_config,prompt,prompt_chars,gen_tokens_target,call_idx,sample_idx,is_warmup,warmup_idx,rep,mode,status,error,started_at_unix,prompt_tokens,prefill_ms,prefill_cuda_event_ms,kv_decode_ms,kv_decode_ms_equiv,kv_decode_ms_per_token,kv_decode_cuda_event_ms,gen_tokens,gen_tokens_equiv,ollama_wall_ms,ollama_total_duration_ms,ollama_load_ms,ollama_done_reason,params_millions_measured,latency_ms,cuda_event_ms,tokens_total,tokens_per_s
0,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,0,0,True,0,,prefill,ok,,1766548382.4367294,18,13.6272,,148.8726,280.23077647058824,4.378605882352941,,0,64,3019.216300000153,2947.9571,2733.4335,stop,999.89,13.6272,,18,1320.8876364917223
0,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,0,1,True,0,,kv_decode,ok,,1766548382.4367294,18,13.6272,,148.8726,280.23077647058824,4.378605882352941,,64,64,3019.216300000153,2947.9571,2733.4335,stop,999.89,280.23077647058824,,64,228.38319475847132
0,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,0,2,True,0,,e2e_kv,ok,,1766548382.4367294,18,13.6272,,148.8726,280.23077647058824,4.378605882352941,,64,64,3019.216300000153,2947.9571,2733.4335,stop,999.89,293.85797647058826,,82,279.04636445424933
0,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,1,3,False,,0,prefill,ok,,1766548385.4561386,18,4.7455,,149.8584,282.08639999999997,4.4075999999999995,,0,64,365.73999999927764,345.2418,164.315,stop,999.89,4.7455,,18,3793.067116215362
0,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,1,4,False,,0,kv_decode,ok,,1766548385.4561386,18,4.7455,,149.8584,282.08639999999997,4.4075999999999995,,64,64,365.73999999927764,345.2418,164.315,stop,999.89,282.08639999999997,,64,226.8808421816862
0,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,1,5,False,,0,e2e_kv,ok,,1766548385.4561386,18,4.7455,,149.8584,282.08639999999997,4.4075999999999995,,64,64,365.73999999927764,345.2418,164.315,stop,999.89,286.83189999999996,,82,285.8817307279979
0,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,2,6,False,,1,prefill,ok,,1766548385.8220172,18,4.9005,,150.0673,282.47962352941175,4.413744117647059,,0,64,353.7166999994952,343.3315,156.9593,stop,999.89,4.9005,,18,3673.094582185491
0,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,2,7,False,,1,kv_decode,ok,,1766548385.8220172,18,4.9005,,150.0673,282.47962352941175,4.413744117647059,,64,64,353.7166999994952,343.3315,156.9593,stop,999.89,282.47962352941175,,64,226.5650144968291
0,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,2,8,False,,1,e2e_kv,ok,,1766548385.8220172,18,4.9005,,150.0673,282.47962352941175,4.413744117647059,,64,64,353.7166999994952,343.3315,156.9593,stop,999.89,287.3801235294118,,82,285.33636562240446
0,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,3,9,False,,2,prefill,ok,,1766548386.1760375,18,4.955,,146.1173,275.0443294117647,4.297567647058823,,0,64,347.4002000002656,318.6506,142.7882,stop,999.89,4.955,,18,3632.694248234107
