"timestamp","model","tag","prompt_index","prompt_text","ttft_s","tokens_s","load_s","prompt_eval_s","eval_s","prompt_eval_count","eval_count","total_tokens","response_chars","error"
"2025-09-30T20:09:43","llama3.1:8b-instruct-q4_0","q4_0","1","banter prompt: Player failed a mission but needs encouragement.","0.1382","74.11","0.0704","0.0678","3.6029","22","267","289","1062",""
"2025-09-30T20:09:43","llama3.1:8b-instruct-q4_0","q4_0","2","Give a battle quote for a co-op shooter win.","0.0987","76.96","0.0904","0.0083","0.1299","21","10","31","36",""
"2025-09-30T20:09:49","llama3.1:8b-instruct-q4_0","q4_0","3","Prompt for rare loot find celebration banter.","0.0837","76.72","0.077","0.0067","5.5267","19","424","443","1443",""
"2025-09-30T20:09:51","llama3.1:8b-instruct-q4_0","q4_0","4","Craft a witty remark after a close racing finish.","0.078","78.26","0.07","0.008","2.1723","20","170","190","627",""
"2025-09-30T20:09:57","llama3.1:8b-instruct-q4_0","q4_0","5","Motivate a teammate before a final boss fight.","0.0877","76.88","0.0785","0.0092","5.4758","20","421","441","1832",""
"2025-09-30T20:10:09","llama3.1:8b-instruct-q5_K_M","q5_K_M","1","banter prompt: Player failed a mission but needs encouragement.","6.4097","64.85","6.2012","0.2084","6.1529","22","399","421","1559",""
"2025-09-30T20:10:09","llama3.1:8b-instruct-q5_K_M","q5_K_M","2","Give a battle quote for a co-op shooter win.","0.1016","65.03","0.084","0.0175","0.2614","21","17","38","70",""
"2025-09-30T20:10:14","llama3.1:8b-instruct-q5_K_M","q5_K_M","3","Prompt for rare loot find celebration banter.","0.0915","65.14","0.0846","0.0068","4.7589","19","310","329","896",""
"2025-09-30T20:10:16","llama3.1:8b-instruct-q5_K_M","q5_K_M","4","Craft a witty remark after a close racing finish.","0.0692","65.89","0.0617","0.0076","1.9881","20","131","151","486",""
"2025-09-30T20:10:21","llama3.1:8b-instruct-q5_K_M","q5_K_M","5","Motivate a teammate before a final boss fight.","0.0996","65.01","0.0913","0.0083","4.4914","20","292","312","1246",""
"2025-09-30T20:10:39","llama3.1:8b-instruct-q8_0","q8_0","1","banter prompt: Player failed a mission but needs encouragement.","9.6085","46.04","9.1216","0.4869","8.08","22","372","394","1493",""
"2025-09-30T20:10:39","llama3.1:8b-instruct-q8_0","q8_0","2","Give a battle quote for a co-op shooter win.","0.1554","46.79","0.0933","0.0621","0.2351","21","11","32","39",""
"2025-09-30T20:10:45","llama3.1:8b-instruct-q8_0","q8_0","3","Prompt for rare loot find celebration banter.","0.0893","46.54","0.0791","0.0101","6.1882","19","288","307","852",""
"2025-09-30T20:10:49","llama3.1:8b-instruct-q8_0","q8_0","4","Craft a witty remark after a close racing finish.","0.0988","46.85","0.0889","0.01","3.6289","20","170","190","660",""
"2025-09-30T20:10:57","llama3.1:8b-instruct-q8_0","q8_0","5","Motivate a teammate before a final boss fight.","0.0866","46.64","0.0789","0.0077","7.5896","20","354","374","1575",""
